timestamp,open,high,low,close,volume,datetime
1669982400000,16984.5,17034.5,16977,17023,3035.882,2022-12-02 12:00:00+00:00
1669986000000,17023,17100,16769,16883,31993.293,2022-12-02 13:00:00+00:00
1669989600000,16883,16960,16847,16899,6758.361,2022-12-02 14:00:00+00:00
1669993200000,16899,16967.5,16882.5,16930.5,3857.776,2022-12-02 15:00:00+00:00
1669996800000,16930.5,16937,16893,16928,2965.936,2022-12-02 16:00:00+00:00
1670000400000,16928,16960.5,16906.5,16923.5,2752.469,2022-12-02 17:00:00+00:00
1670004000000,16923.5,16954,16923.5,16943,1423.697,2022-12-02 18:00:00+00:00
1670007600000,16943,16988.5,16924,16977,2483.656,2022-12-02 19:00:00+00:00
1670011200000,16977,17058.5,16970,17018.5,4416.605,2022-12-02 20:00:00+00:00
1670014800000,17018.5,17043.5,16984,17003,2672.78,2022-12-02 21:00:00+00:00
1670018400000,17003,17069,17003,17031,2584.024,2022-12-02 22:00:00+00:00
1670022000000,17031,17084,17031,17083.5,2488.449,2022-12-02 23:00:00+00:00
1670025600000,17083.5,17150,17026.5,17035.5,7885.881,2022-12-03 00:00:00+00:00
1670029200000,17035.5,17043.5,17000,17039,2414.329,2022-12-03 01:00:00+00:00
1670032800000,17039,17046.5,17006.5,17019,1425.429,2022-12-03 02:00:00+00:00
1670036400000,17019,17019.5,16996.5,17008,1540.488,2022-12-03 03:00:00+00:00
1670040000000,17008,17029.5,17000,17006,2074.25,2022-12-03 04:00:00+00:00
1670043600000,17006,17011.5,17002.5,17005,679.612,2022-12-03 05:00:00+00:00
1670047200000,17005,17005,16924,16968,5001.708,2022-12-03 06:00:00+00:00
1670050800000,16968,16968.5,16918.5,16951.5,2498.287,2022-12-03 07:00:00+00:00
1670054400000,16951.5,16955,16912,16937.5,1972.686,2022-12-03 08:00:00+00:00
1670058000000,16937.5,16977,16917,16972,1930.784,2022-12-03 09:00:00+00:00
1670061600000,16972,16975,16937.5,16954.5,1881.638,2022-12-03 10:00:00+00:00
1670065200000,16954.5,16955,16875,16940.5,5020.368,2022-12-03 11:00:00+00:00
1670068800000,16940.5,16959.5,16927,16959,1707.298,2022-12-03 12:00:00+00:00
1670072400000,16959,16959.5,16939,16948,1158.424,2022-12-03 13:00:00+00:00
1670076000000,16948,16948.5,16913.5,16940,2928.154,2022-12-03 14:00:00+00:00
1670079600000,16940,16976,16936.5,16959,1858.133,2022-12-03 15:00:00+00:00
1670083200000,16959,16960,16946,16950,915.592,2022-12-03 16:00:00+00:00
1670086800000,16950,16980,16937.5,16966,1191.335,2022-12-03 17:00:00+00:00
1670090400000,16966,16977,16948,16963,908.981,2022-12-03 18:00:00+00:00
1670094000000,16963,16965,16932.5,16950.5,977.76,2022-12-03 19:00:00+00:00
1670097600000,16950.5,16950.5,16902,16927,1043.631,2022-12-03 20:00:00+00:00
1670101200000,16927,16945.5,16860,16945.5,2983.249,2022-12-03 21:00:00+00:00
1670104800000,16945.5,16950,16855,16896,3623.577,2022-12-03 22:00:00+00:00
1670108400000,16896,16910.5,16867,16881,1955.741,2022-12-03 23:00:00+00:00
1670112000000,16881,16960.5,16880.5,16942,2111.102,2022-12-04 00:00:00+00:00
1670115600000,16942,17044.5,16933.5,16962,4384.052,2022-12-04 01:00:00+00:00
1670119200000,16962,16977.5,16943,16962.5,1190.379,2022-12-04 02:00:00+00:00
1670122800000,16962.5,16969,16948,16954.5,749.084,2022-12-04 03:00:00+00:00
1670126400000,16954.5,17013.5,16954,16994.5,1423.897,2022-12-04 04:00:00+00:00
1670130000000,16994.5,17067,16993.5,17010.5,4430.672,2022-12-04 05:00:00+00:00
1670133600000,17010.5,17034,16990.5,16991,1476.256,2022-12-04 06:00:00+00:00
1670137200000,16991,17001,16984.5,16986.5,1018.804,2022-12-04 07:00:00+00:00
1670140800000,16986.5,17039,16970,17009,1967.222,2022-12-04 08:00:00+00:00
1670144400000,17009,17025,16993,16993.5,2208.506,2022-12-04 09:00:00+00:00
1670148000000,16993.5,16997.5,16983,16995.5,1377.196,2022-12-04 10:00:00+00:00
1670151600000,16995.5,16996.5,16901,16938.5,4134.111,2022-12-04 11:00:00+00:00
1670155200000,16938.5,16954,16923,16949.5,1501.723,2022-12-04 12:00:00+00:00
1670158800000,16949.5,16950,16913,16936,1269.107,2022-12-04 13:00:00+00:00
1670162400000,16936,17006,16922.5,16995.5,3164.256,2022-12-04 14:00:00+00:00
1670166000000,16995.5,17055,16995,17017.5,6826.052,2022-12-04 15:00:00+00:00
1670169600000,17017.5,17094,16995,17001.5,6030.017,2022-12-04 16:00:00+00:00
1670173200000,17001.5,17050.5,16964.5,17038,2576.094,2022-12-04 17:00:00+00:00
1670176800000,17038,17146.5,17021,17052.5,12170.533,2022-12-04 18:00:00+00:00
1670180400000,17052.5,17098,17035.5,17076.5,3329.259,2022-12-04 19:00:00+00:00
1670184000000,17076.5,17119,17063,17081.5,2443.803,2022-12-04 20:00:00+00:00
1670187600000,17081.5,17107,17064.5,17103.5,1271.419,2022-12-04 21:00:00+00:00
1670191200000,17103.5,17123,17068.5,17092.5,1636.232,2022-12-04 22:00:00+00:00
1670194800000,17092.5,17195,17068,17096,7871.982,2022-12-04 23:00:00+00:00
1670198400000,17096,17260,17065,17201,10191.385,2022-12-05 00:00:00+00:00
1670202000000,17201,17293,17183,17250,5325.115,2022-12-05 01:00:00+00:00
1670205600000,17250,17335,17223,17223,6109.529,2022-12-05 02:00:00+00:00
